"","RRN-SKG2-p1-65","RRN-SKG2-p1-66","RRN-SKG2-p1-67","RRN-SKG2-p1-68","RRN-SKG2-p1-69","RRN-SKG2-p1-70","RRN-SKG2-p1-71","RRN-SKG2-p1-72"
"a386bec386f80a4b2550c228abc4f758",0,0,0,5,0,440,6,189
"01fe2ad4c2e075979225a4966bb8137a",18,0,0,0,8,0,0,0
"6ac825e56996acb620290f386f778abc",0,0,64,520,0,0,101,108
"935172fb45a35d47535c80b28b4c6708",0,0,234,0,155,532,0,0
"e77e36fe2c83667fe59ffc0b049adfca",0,0,429,267,0,0,0,21
"04e5e80d3d51a845be3c3ece55ac3600",119,21,42,0,28,0,38,119
"7efca13cfe65b7246dd5384dd4aac4a1",106,0,0,125,8,206,36,48
"e5a669a9d2abfae01c49cdb28937649f",0,41,0,16,44,384,112,121
"7c5afcc63200c0c53d44c479b3519aa7",0,0,0,0,0,0,0,0
"0ee500a94c90c867463d26e941a1165e",326,139,0,0,0,0,0,0
"9f9744e4fad3f2caa93cbb5ceda3c187",0,0,0,0,0,0,0,0
"45aa1cb25b9e01293c2aef67e55877e3",237,19,80,18,99,32,32,60
"2be36e7c53a1ff9b53b596ce97533e58",26,30,65,0,126,18,88,36
"becd943d184ef893198b2118f8ff9bf5",105,12,180,0,132,4,117,25
"1cdedc5e590c48596c5815727eeabbfd",0,0,226,35,0,0,154,165
"b13afa0295dceb8ed5edc5d742c86963",99,0,0,70,0,63,0,0
"5023c0a25754b6dfa19144016e404afb",395,0,0,0,0,94,0,0
"a91216d80a4599a8cdd62b9575a5d87b",9,55,66,53,16,0,62,0
"df61a14bd5475bb09a2a86ad75a4c200",0,0,116,0,192,24,63,0
"5b858ca4949fd9cf5bba89756b01f26e",67,38,54,0,143,8,63,44
"e86e57d9904a717936272a51ecdf19dd",0,0,0,0,0,0,0,0
"6827eaf6fa512929f14eb3048bb78225",110,0,35,304,16,23,9,16
"11e18618bead81e79a362a5ef2ab38b8",60,100,474,0,237,24,244,52
"4dc6345314771ba205b679bfd2716617",60,148,30,153,166,122,215,119
"a79e7d52e7d021dc9b9e84c6e129aa90",376,0,0,0,250,33,0,0
"6075297080c6b17dd53eedfcb7a52289",0,0,0,0,0,0,0,0
"4322f71ec394024540834021c505ed8c",104,0,13,0,1045,0,121,0
"cb71c522249f3d076c7b9f2c5edb629f",0,31,72,0,0,7,0,12
"bcade5cef4bdb103bd6fe90c01a1849f",37,0,33,22,130,21,124,241
"3751267c5fa85eb61e9720471cda2fe0",36,21,0,40,40,11,0,0
"8f20e8d05e62fad83c0accad82df42af",125,24,45,77,26,52,58,52
"7e45c1eba7bcf3fc1f0897986d8ecefc",31,106,0,137,123,86,115,81
"eb4ff00a10df215990f2106db5ca20a6",24,50,0,48,0,32,112,0
"973eb455dfe8f370e17ec4458bc532ee",0,0,0,0,0,0,0,0
"492106d65d13feade3f768693872e83f",0,0,0,785,0,0,0,0
"011c302244e3c971a9d8991af8bf599f",403,0,0,0,0,78,0,0
"0ce4e8cd9e2298fd90b1805fbfd6d161",0,0,0,0,24,19,8,124
"377f74e2ecbc10a3aae743befaa94b42",0,0,0,0,0,0,11,0
"2ca55cb0488522690d66eafbffd6fcd1",0,0,0,34,0,57,72,0
"f773225220a5378c11e68e7e2d2febe2",14,22,91,0,0,0,62,23
"0a61241a2a82ee5f9e8ff159db32a7a6",0,0,386,0,195,0,738,272
"9a411c8b3e5ec4ac44fdda9881261699",137,0,0,0,177,19,0,0
"49b77706933ceab60c44c5e5beccedcb",0,0,0,0,0,0,0,21
"c6052f784c9c2675923c25f8f3587e7c",32,0,87,0,247,11,103,99
"f5d873dbd84ce42d9e8f04c82b38ecfc",65,24,47,61,29,29,50,23
